City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
London,1948,Aquatics,Diving,"CAPILLA PEREZ, Joaquin",MEX,Men,10m platform,M,Bronze
London,1948,Aquatics,Diving,"LEE, Samuel",USA,Men,10m platform,M,Gold
London,1948,Aquatics,Diving,"HARLAN, Bruce Ira",USA,Men,10m platform,M,Silver
London,1948,Aquatics,Diving,"CHRISTOFFERSEN-HANSON, Birte",DEN,Women,10m platform,W,Bronze
London,1948,Aquatics,Diving,"DRAVES, Victoria Manalo",USA,Women,10m platform,W,Gold
London,1948,Aquatics,Diving,"ELSENER, Patricia Anne",USA,Women,10m platform,W,Silver
London,1948,Aquatics,Diving,"LEE, Samuel",USA,Men,3m springboard,M,Bronze
London,1948,Aquatics,Diving,"HARLAN, Bruce Ira",USA,Men,3m springboard,M,Gold
London,1948,Aquatics,Diving,"ANDERSON, Miller Altman",USA,Men,3m springboard,M,Silver
London,1948,Aquatics,Diving,"ELSENER, Patricia Anne",USA,Women,3m springboard,W,Bronze
London,1948,Aquatics,Diving,"DRAVES, Victoria Manalo",USA,Women,3m springboard,W,Gold
London,1948,Aquatics,Diving,"OLSEN-JENSEN, Zoe-Ann",USA,Women,3m springboard,W,Silver
London,1948,Aquatics,Swimming,"VALLEREY JR., Georges",FRA,Men,100m backstroke,M,Bronze
London,1948,Aquatics,Swimming,"STACK, Allen Mcintyre",USA,Men,100m backstroke,M,Gold
London,1948,Aquatics,Swimming,"COWELL, Robert Elmer",USA,Men,100m backstroke,M,Silver
London,1948,Aquatics,Swimming,"DAVIES, Judith Joy",AUS,Women,100m backstroke,W,Bronze
London,1948,Aquatics,Swimming,"HARUP, Karen Margrethe",DEN,Women,100m backstroke,W,Gold
London,1948,Aquatics,Swimming,"ZIMMERMAN, Suzanne Winona",USA,Women,100m backstroke,W,Silver
London,1948,Aquatics,Swimming,"KADAS, Geza",HUN,Men,100m freestyle,M,Bronze
London,1948,Aquatics,Swimming,"RIS, Walter Stephen",USA,Men,100m freestyle,M,Gold
London,1948,Aquatics,Swimming,"FORD, Alan Robert",USA,Men,100m freestyle,M,Silver
London,1948,Aquatics,Swimming,"LINSSEN-VAESSEN, Marie-Louise Jean",NED,Women,100m freestyle,W,Bronze
London,1948,Aquatics,Swimming,"ANDERSEN, Greta Marie",DEN,Women,100m freestyle,W,Gold
London,1948,Aquatics,Swimming,"CURTIS, Ann Elisabeth",USA,Women,100m freestyle,W,Silver
London,1948,Aquatics,Swimming,"MITRO, György",HUN,Men,1500m freestyle,M,Bronze
London,1948,Aquatics,Swimming,"MCLANE, James Price Jr.",USA,Men,1500m freestyle,M,Gold
London,1948,Aquatics,Swimming,"MARSHALL, John Birnie",AUS,Men,1500m freestyle,M,Silver
London,1948,Aquatics,Swimming,"SOHL, Robert Raymond",USA,Men,200m breaststroke,M,Bronze
London,1948,Aquatics,Swimming,"VERDEUR, Joseph Thomas",USA,Men,200m breaststroke,M,Gold
London,1948,Aquatics,Swimming,"CARTER, Keith Eyre",USA,Men,200m breaststroke,M,Silver
London,1948,Aquatics,Swimming,"NOVAK-GERARD, Eva",HUN,Women,200m breaststroke,W,Bronze
London,1948,Aquatics,Swimming,"VAN VLIET, Petronella (Nel)",NED,Women,200m breaststroke,W,Gold
